Saint Joseph's,A10,32,16,none,0,2018
Missouri St.,MVC,32,18,none,0,2018
Toledo,MAC,33,23,none,0,2018
UCF,Amer,32,19,none,0,2018
Bradley,MVC,32,20,none,0,2018
Eastern Washington,BSky,33,20,none,0,2018
UC Santa Barbara,BW,30,23,none,0,2018
Wyoming,MWC,32,20,none,0,2018
Rutgers,B10,33,15,none,0,2018
UT Arlington,SB,33,21,none,0,2018
Harvard,Ivy,31,18,none,0,2018
La Salle,A10,32,13,none,0,2018
VCU,A10,33,18,none,0,2018
North Texas,CUSA,36,20,none,0,2018
Florida Gulf Coast,ASun,32,23,none,0,2018
UC Davis,BW,31,22,none,0,2018
College of Charleston,CAA,32,26,R64,13,2018
Evansville,MVC,30,17,none,0,2018
Wright St.,Horz,33,25,R64,14,2018
Utah St.,MWC,33,17,none,0,2018
Eastern Michigan,MAC,31,22,none,0,2018
UC Irvine,BW,33,18,none,0,2018
Saint Louis,A10,32,17,none,0,2018
Illinois St.,MVC,32,18,none,0,2018
Louisiana Tech,CUSA,31,17,none,0,2018
Indiana St.,MVC,29,13,none,0,2018
Drake,MVC,33,17,none,0,2018
San Francisco,WCC,38,22,none,0,2018
Southern Illinois,MVC,32,20,none,0,2018
Memphis,Amer,34,21,none,0,2018
Canisius,MAAC,33,21,none,0,2018
Dayton,A10,31,14,none,0,2018
Lipscomb,ASun,30,23,R64,15,2018
Albany,AE,31,22,none,0,2018
Idaho,BSky,29,22,none,0,2018
Iona,MAAC,34,20,R64,15,2018
Rider,MAAC,32,22,none,0,2018
UTSA,CUSA,32,20,none,0,2018
Georgia Southern,SB,31,21,none,0,2018
Jacksonville St.,OVC,35,23,none,0,2018
Hofstra,CAA,30,19,none,0,2018
Mercer,SC,32,19,none,0,2018
Wofford,SC,31,21,none,0,2018
Valparaiso,MVC,30,15,none,0,2018
Central Michigan,MAC,33,21,none,0,2018
UMBC,AE,33,25,R32,16,2018
George Washington,A10,33,15,none,0,2018
Portland St.,BSky,31,20,none,0,2018
Oakland,Horz,33,19,none,0,2018
William & Mary,CAA,29,19,none,0,2018
Ball St.,MAC,31,19,none,0,2018
Weber St.,BSky,28,20,none,0,2018
Tulane,Amer,31,14,none,0,2018
Cal St. Fullerton,BW,30,20,R64,15,2018
Pacific,WCC,31,14,none,0,2018
Richmond,A10,32,12,none,0,2018
Seattle,WAC,31,20,none,0,2018
Austin Peay,OVC,32,19,none,0,2018
Princeton,Ivy,28,13,none,0,2018
Troy,SB,31,16,none,0,2018
Ohio,MAC,30,14,none,0,2018
Fort Wayne,Sum,29,18,none,0,2018
Towson,CAA,30,18,none,0,2018
UNC Asheville,BSth,32,21,none,0,2018
Radford,BSth,34,23,R64,16,2018
Connecticut,Amer,32,14,none,0,2018
North Dakota St.,Sum,29,15,none,0,2018
Monmouth,MAAC,31,11,none,0,2018
Winthrop,BSth,28,19,none,0,2018
Illinois Chicago,Horz,34,20,none,0,2018
Miami OH,MAC,32,16,none,0,2018
Liberty,BSth,34,22,none,0,2018
Washington St.,P12,31,12,none,0,2018
Duquesne,A10,32,16,none,0,2018
Nicholls St.,Slnd,28,21,none,0,2018
Southeastern Louisiana,Slnd,31,22,none,0,2018
Hawaii,BW,28,17,none,0,2018
Western Michigan,MAC,30,17,none,0,2018
Yale,Ivy,30,16,none,0,2018
Wagner,NEC,31,23,none,0,2018
Long Beach St.,BW,31,15,none,0,2018
Massachusetts,A10,33,13,none,0,2018
Southern Miss,CUSA,30,16,none,0,2018
Denver,Sum,28,15,none,0,2018
Milwaukee,Horz,31,16,none,0,2018
Colgate,Pat,32,19,none,0,2018
Appalachian St.,SB,31,15,none,0,2018
Idaho St.,BSky,28,14,none,0,2018
FIU,CUSA,29,14,none,0,2018
Lamar,Slnd,29,19,none,0,2018
Kent St.,MAC,33,17,none,0,2018
George Mason,A10,33,16,none,0,2018
Coastal Carolina,SB,29,14,none,0,2018
Texas St.,SB,31,15,none,0,2018
Louisiana Monroe,SB,29,16,none,0,2018
South Alabama,SB,30,14,none,0,2018
Fairfield,MAAC,33,17,none,0,2018
Columbia,Ivy,26,8,none,0,2018
Tennessee St.,OVC,28,15,none,0,2018
Colorado St.,MWC,31,11,none,0,2018
Stony Brook,AE,31,13,none,0,2018
Akron,MAC,31,14,none,0,2018
Sam Houston St.,Slnd,32,21,none,0,2018
Saint Peter's,MAAC,32,14,none,0,2018
Hartford,AE,32,19,none,0,2018
Campbell,BSth,31,18,none,0,2018
Air Force,MWC,29,12,none,0,2018
Pittsburgh,ACC,32,8,none,0,2018
Tennessee Tech,OVC,31,19,none,0,2018
Navy,Pat,31,20,none,0,2018
Central Arkansas,Slnd,34,18,none,0,2018
Lehigh,Pat,29,16,none,0,2018
Manhattan,MAAC,31,14,none,0,2018
Niagara,MAAC,33,19,none,0,2018
James Madison,CAA,31,10,none,0,2018
St. Francis PA,NEC,29,18,none,0,2018
NJIT,ASun,28,14,none,0,2018
Bowling Green,MAC,30,16,none,0,2018
Loyola Marymount,WCC,30,11,none,0,2018
UNC Wilmington,CAA,30,11,none,0,2018
Delaware,CAA,31,14,none,0,2018
Cal St. Bakersfield,WAC,27,12,none,0,2018
California,P12,31,8,none,0,2018
UTEP,CUSA,30,11,none,0,2018
Mount St. Mary's,NEC,30,18,none,0,2018
Pepperdine,WCC,31,6,none,0,2018
Oral Roberts,Sum,28,11,none,0,2018
Eastern Illinois,OVC,29,12,none,0,2018
Florida Atlantic,CUSA,28,12,none,0,2018
North Dakota,BSky,30,12,none,0,2018
Cornell,Ivy,27,12,none,0,2018
Southern Utah,BSky,30,13,none,0,2018
Charleston Southern,BSth,28,15,none,0,2018
Gardner Webb,BSth,29,14,none,0,2018
Hampton,MEAC,32,19,none,0,2018
Drexel,CAA,32,13,none,0,2018
Boston University,Pat,30,15,none,0,2018
Elon,CAA,30,14,none,0,2018
Southeast Missouri St.,OVC,29,14,none,0,2018
LIU Brooklyn,NEC,34,18,R68,16,2018
Texas Southern,SWAC,36,16,R64,16,2018
High Point,BSth,27,14,none,0,2018
Brown,Ivy,26,11,none,0,2018
Montana St.,BSky,30,13,none,0,2018
Green Bay,Horz,30,13,none,0,2018
Portland,WCC,29,10,none,0,2018
Northern Illinois,MAC,30,12,none,0,2018
South Florida,Amer,32,10,none,0,2018
UMKC,WAC,29,10,none,0,2018
New Hampshire,AE,29,10,none,0,2018
Arkansas St.,SB,30,11,none,0,2018
Army,Pat,29,13,none,0,2018
Robert Morris,NEC,33,16,none,0,2018
Rice,CUSA,29,7,none,0,2018
Holy Cross,Pat,31,12,none,0,2018
Santa Clara,WCC,29,11,none,0,2018
UMass Lowell,AE,29,12,none,0,2018
North Florida,ASun,30,14,none,0,2018
Western Illinois,Sum,24,12,none,0,2018
Quinnipiac,MAAC,33,12,none,0,2018
Prairie View A&M,SWAC,33,16,none,0,2018
Abilene Christian,Slnd,28,16,none,0,2018
IUPUI,Horz,28,11,none,0,2018
Lafayette,Pat,30,10,none,0,2018
Fairleigh Dickinson,NEC,29,13,none,0,2018
Eastern Kentucky,OVC,29,11,none,0,2018
UT Rio Grande Valley,WAC,31,15,none,0,2018
Nebraska Omaha,Sum,29,9,none,0,2018
Morehead St.,OVC,27,8,none,0,2018
Cleveland St.,Horz,34,12,none,0,2018
Fordham,A10,31,9,none,0,2018
New Orleans,Slnd,30,16,none,0,2018
UC Riverside,BW,29,9,none,0,2018
McNeese St.,Slnd,25,12,none,0,2018
Tennessee Martin,OVC,29,10,none,0,2018
San Jose St.,MWC,29,4,none,0,2018
Sacramento St.,BSky,30,7,none,0,2018
Samford,SC,30,10,none,0,2018
Siena,MAAC,32,8,none,0,2018
Little Rock,SB,30,7,none,0,2018
